,vacancy,salary,link,site
183,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91609682?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
184,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91442500?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
185,Data scientist,ЗП не указана,https://hh.ru/vacancy/91369809?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
186,Data scientist,ЗП не указана,https://hh.ru/vacancy/89602945?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
187,Senior Data Scientist в команду «Матчинг»,330 000 – 450 000 ₽,https://hh.ru/vacancy/83575438?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
188,"Data Scientist (Junior), Data&Solutions, Deal Advisory",ЗП не указана,https://hh.ru/vacancy/92427726?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
189,Data Engineer,ЗП не указана,https://hh.ru/vacancy/91374928?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
190,Lead Data Scientist,ЗП не указана,https://hh.ru/vacancy/90871485?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
191,Стажер Data analyst,до 55 000 ₽,https://hh.ru/vacancy/92417071?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
192,Senior Data Scientist NLP,ЗП не указана,https://hh.ru/vacancy/91152974?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
193,TeamLead Data Scientist,ЗП не указана,https://hh.ru/vacancy/92418174?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
